Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human T-cell leukemia virus 1 infection	3/168	0.015800302081573486	0.13158390527403108	0	0	6.1328282828282825	25.43729267172075	MAPK9;PIK3CB;ETS2
Glioma	2/62	0.016316479566779098	0.13158390527403108	0	0	11.034234234234233	45.41227003916944	SHC1;PIK3CB
Pancreatic cancer	2/65	0.01784117487929461	0.13158390527403108	0	0	10.506220506220506	42.30063141426725	MAPK9;PIK3CB
Colorectal cancer	2/67	0.018890052961961123	0.13158390527403108	0	0	10.181288981288981	40.41075562171675	MAPK9;PIK3CB
Salmonella infection	3/182	0.019518602565697575	0.13158390527403108	0	0	5.646648044692737	22.227393596670733	MAPK9;DCTN4;PIK3CB
Choline metabolism in cancer	2/69	0.019964454593301265	0.13158390527403108	0	0	9.875756353368294	38.65175355491248	MAPK9;PIK3CB
Progesterone-mediated oocyte maturation	2/69	0.019964454593301265	0.13158390527403108	0	0	9.875756353368294	38.65175355491248	MAPK9;PIK3CB
AGE-RAGE signaling pathway in diabetic complications	2/72	0.021623157242508424	0.13364148816896268	0	0	9.45019305019305	36.23194984853141	MAPK9;PIK3CB
Thyroid hormone signaling pathway	2/77	0.02451041973466754	0.13364148816896268	0	0	8.816576576576576	32.69765805368807	PFKL;PIK3CB
C-type lectin receptor signaling pathway	2/79	0.025707308799357707	0.13364148816896268	0	0	8.586170586170587	31.433798263923777	MAPK9;PIK3CB
Chagas disease	2/79	0.025707308799357707	0.13364148816896268	0	0	8.586170586170587	31.433798263923777	MAPK9;PIK3CB
Insulin resistance	2/80	0.026314583820874593	0.13364148816896268	0	0	8.475398475398475	30.830380499914202	MAPK9;PIK3CB
AMPK signaling pathway	2/85	0.02943762748333824	0.13364148816896268	0	0	7.961576033865191	28.068389627858483	PFKL;PIK3CB
T cell receptor signaling pathway	2/85	0.02943762748333824	0.13364148816896268	0	0	7.961576033865191	28.068389627858483	MAPK9;PIK3CB
HIF-1 signaling pathway	2/85	0.02943762748333824	0.13364148816896268	0	0	7.961576033865191	28.068389627858483	PFKL;PIK3CB
Breast cancer	2/87	0.03072653543678236	0.13364148816896268	0	0	7.772972972972973	27.07037838103876	SHC1;PIK3CB
TNF signaling pathway	2/88	0.03137933444060277	0.13364148816896268	0	0	7.68196103079824	26.59192041073332	MAPK9;PIK3CB
Toll-like receptor signaling pathway	2/89	0.03203764399728518	0.13364148816896268	0	0	7.593041317179249	26.126468324277834	MAPK9;PIK3CB
Estrogen signaling pathway	2/90	0.0327014247271034	0.13364148816896268	0	0	7.506142506142506	25.673534181712924	SHC1;PIK3CB
Sphingolipid signaling pathway	2/94	0.035410478257189196	0.13364148816896268	0	0	7.17743830787309	23.978009131339043	MAPK9;PIK3CB
Spinocerebellar ataxia	2/95	0.03610103059603153	0.13364148816896268	0	0	7.099680325486777	23.581118668604134	MAPK9;PIK3CB
Gastric cancer	2/95	0.03610103059603153	0.13364148816896268	0	0	7.099680325486777	23.581118668604134	SHC1;PIK3CB
Yersinia infection	2/97	0.03749781336997904	0.13364148816896268	0	0	6.949075391180655	22.81709904420886	MAPK9;PIK3CB
Phospholipase D signaling pathway	2/97	0.03749781336997904	0.13364148816896268	0	0	6.949075391180655	22.81709904420886	SHC1;PIK3CB
FoxO signaling pathway	2/99	0.038915247069012275	0.13364148816896268	0	0	6.804680969629423	22.090506373019675	MAPK9;PIK3CB
Apoptosis	2/100	0.03963161373286479	0.13364148816896268	0	0	6.73469387755102	21.74045490544971	MAPK9;PIK3CB
Natural killer cell mediated cytotoxicity	2/100	0.03963161373286479	0.13364148816896268	0	0	6.73469387755102	21.74045490544971	SHC1;PIK3CB
Osteoclast differentiation	2/100	0.03963161373286479	0.13364148816896268	0	0	6.73469387755102	21.74045490544971	MAPK9;PIK3CB
Autophagy	2/107	0.04478550592401305	0.14355390661574585	0	0	6.282110682110682	19.5114236298148	MAPK9;PIK3CB
Fluid shear stress and atherosclerosis	2/108	0.045541239340167655	0.14355390661574585	0	0	6.22233554309026	19.22164697992911	MAPK9;PIK3CB
Measles	2/108	0.045541239340167655	0.14355390661574585	0	0	6.22233554309026	19.22164697992911	MAPK9;PIK3CB
MicroRNAs in cancer	2/110	0.047066941088694955	0.14520652038001636	0	0	6.106106106106106	18.66138630018186	SHC1;PIK3CB
Hepatocellular carcinoma	2/119	0.05416045819263557	0.1606359396951837	0	0	5.6322476322476325	16.422531247656725	SHC1;PIK3CB
JAK-STAT signaling pathway	2/120	0.05497094486503245	0.1606359396951837	0	0	5.584058634906093	16.19907773652175	FHL1;PIK3CB
Vitamin digestion and absorption	1/18	0.055391703343166794	0.1606359396951837	0	0	19.026315789473685	55.04932379982637	PNLIP
Non-alcoholic fatty liver disease	2/123	0.05742829524126703	0.1632765256859553	0	0	5.444270716997989	15.555469098833894	MAPK9;PIK3CB
Hepatitis B	2/126	0.05992377478351471	0.16394240270961571	0	0	5.311246730601569	14.949470276485762	MAPK9;PIK3CB
Necroptosis	2/126	0.05992377478351471	0.16394240270961571	0	0	5.311246730601569	14.949470276485762	MAPK9;H2AC1
Proteoglycans in cancer	2/135	0.06763007781769721	0.18147235530555172	0	0	4.948181263970738	13.328928027238032	IHH;PIK3CB
Neutrophil extracellular trap formation	2/138	0.0702692267070016	0.18147235530555172	0	0	4.837837837837838	12.846497729726638	PIK3CB;H2AC1
cAMP signaling pathway	2/139	0.07115648854492078	0.18147235530555172	0	0	4.802130597751035	12.691424964802575	MAPK9;PIK3CB
Alcoholism	2/141	0.07294214384479439	0.18147235530555172	0	0	4.732257437293408	12.38946973219068	SHC1;H2AC1
Galactose metabolism	1/24	0.07318238840444607	0.18147235530555172	0	0	14.056064073226544	36.753803121149645	PFKL
Chemokine signaling pathway	2/142	0.07384047560708656	0.18147235530555172	0	0	4.698069498069498	12.242456169393932	SHC1;PIK3CB
Diabetic cardiomyopathy	2/144	0.07564799419174478	0.18281598596338322	0	0	4.631138180433955	11.956044356182149	MAPK9;PIK3CB
Aldosterone-regulated sodium reabsorption	1/27	0.08195487711091567	0.18808851830904658	0	0	12.431174089068826	31.097656811860617	PIK3CB
Nicotinate and nicotinamide metabolism	1/27	0.08195487711091567	0.18808851830904658	0	0	12.431174089068826	31.097656811860617	NT5E
Pentose phosphate pathway	1/27	0.08195487711091567	0.18808851830904658	0	0	12.431174089068826	31.097656811860617	PFKL
Kaposi sarcoma-associated herpesvirus infection	2/152	0.08301838049502745	0.18808851830904658	0	0	4.381261261261261	10.903615300902835	MAPK9;PIK3CB
Fat digestion and absorption	1/28	0.0848610211248748	0.1893053548170284	0	0	11.969785575048732	29.52635373185043	PNLIP
Epstein-Barr virus infection	2/157	0.08773406994814682	0.18992446436232516	0	0	4.238186573670444	10.313393808811776	MAPK9;PIK3CB
Carbohydrate digestion and absorption	1/29	0.08775820077431577	0.18992446436232516	0	0	11.541353383458647	28.08207440675954	PIK3CB
Fructose and mannose metabolism	1/31	0.09352577452815773	0.19942996039092456	0	0	10.77017543859649	25.520126904979684	PFKL
Shigellosis	2/169	0.09937011546704091	0.2041090541399994	0	0	3.929762097426768	9.073442874642371	MAPK9;PIK3CB
Human immunodeficiency virus 1 infection	2/169	0.09937011546704091	0.2041090541399994	0	0	3.929762097426768	9.073442874642371	MAPK9;PIK3CB
Pathways in cancer	3/354	0.10031863855940458	0.2041090541399994	0	0	2.8387939221272553	6.527533455787031	MAPK9;MECOM;PIK3CB
Lipid and atherosclerosis	2/171	0.10135070274537902	0.2041090541399994	0	0	3.8826163441548056	8.887962924925645	MAPK9;PIK3CB
Vasopressin-regulated water reabsorption	1/35	0.1049545287261051	0.20561145138440162	0	0	9.5	21.415166782547765	DCTN4
Lysine degradation	1/35	0.1049545287261051	0.20561145138440162	0	0	9.5	21.415166782547765	MECOM
Coronavirus disease	2/176	0.10635075071606981	0.20561145138440162	0	0	3.769493631562597	8.447483019636211	MAPK9;PIK3CB
Hedgehog signaling pathway	1/36	0.10778970709925506	0.20565141486042085	0	0	9.22781954887218	20.55564265888644	IHH
Pyrimidine metabolism	1/39	0.11624284017696436	0.21889885487869912	0	0	8.497229916897506	18.286666100097822	NT5E
Regulation of lipolysis in adipocytes	1/40	0.11904317126071583	0.22129820298466404	0	0	8.27867746288799	17.619253167858982	PIK3CB
GnRH secretion	1/41	0.12183485589003704	0.22362093802601735	0	0	8.071052631578947	16.99028243028735	PIK3CB
Glycerolipid metabolism	1/42	0.12461792003818198	0.22586998006920483	0	0	7.873555840821566	16.39670257608272	PNLIP
Prion disease	2/196	0.12698733742614776	0.22732301144186945	0	0	3.3753134577876844	6.9655260447265865	MAPK9;PIK3CB
VEGF signaling pathway	1/46	0.1356644892554266	0.23418274930996258	0	0	7.171345029239766	14.325266788443479	PIK3CB
Endometrial cancer	1/46	0.1356644892554266	0.23418274930996258	0	0	7.171345029239766	14.325266788443479	PIK3CB
Inositol phosphate metabolism	1/46	0.1356644892554266	0.23418274930996258	0	0	7.171345029239766	14.325266788443479	PIK3CB
MAPK signaling pathway	2/207	0.1387215333206223	0.23664261566459094	0	0	3.1912986156888596	6.303729751705689	MAPK9;MECOM
Huntington disease	2/209	0.14088098114696262	0.23753188681755327	0	0	3.1599425512468993	6.192981336915201	MAPK9;DCTN4
Adipocytokine signaling pathway	1/51	0.14928182822357278	0.2432119673305399	0	0	6.451578947368421	12.270382483316567	MAPK9
Mitophagy	1/51	0.14928182822357278	0.2432119673305399	0	0	6.451578947368421	12.270382483316567	MAPK9
RIG-I-like receptor signaling pathway	1/51	0.14928182822357278	0.2432119673305399	0	0	6.451578947368421	12.270382483316567	MAPK9
Acute myeloid leukemia	1/52	0.15198010082090432	0.24424865678281124	0	0	6.324561403508772	11.915509622632664	PIK3CB
Melanoma	1/53	0.15467003393666093	0.24424865678281124	0	0	6.202429149797571	11.576593629970704	PIK3CB
Epithelial cell signaling in Helicobacter pylori infection	1/55	0.1600249820301177	0.24424865678281124	0	0	5.9717348927875245	10.942758330845324	MAPK9
Glycolysis / Gluconeogenesis	1/55	0.1600249820301177	0.24424865678281124	0	0	5.9717348927875245	10.942758330845324	PFKL
GnRH signaling pathway	1/55	0.1600249820301177	0.24424865678281124	0	0	5.9717348927875245	10.942758330845324	MAPK9
Renal cell carcinoma	1/55	0.1600249820301177	0.24424865678281124	0	0	5.9717348927875245	10.942758330845324	PIK3CB
Small cell lung cancer	1/56	0.16269004696839265	0.24572975844184308	0	0	5.862679425837321	10.646089054862008	PIK3CB
Pancreatic secretion	1/58	0.16799548302182576	0.24856474528739525	0	0	5.656048014773776	10.089361313687753	PNLIP
Pertussis	1/58	0.16799548302182576	0.24856474528739525	0	0	5.656048014773776	10.089361313687753	MAPK9
B cell receptor signaling pathway	1/63	0.18111617836434474	0.26261845862829986	0	0	5.197792869269949	8.881035097723682	PIK3CB
Non-small cell lung cancer	1/63	0.18111617836434474	0.26261845862829986	0	0	5.197792869269949	8.881035097723682	PIK3CB
Phosphatidylinositol signaling system	1/64	0.18371601744626978	0.26375071811593187	0	0	5.114870509607352	8.666452952591978	PIK3CB
Fc gamma R-mediated phagocytosis	1/65	0.18630781342518532	0.26484934261423404	0	0	5.034539473684211	8.459813890637035	PIK3CB
Amoebiasis	1/66	0.18889159049740084	0.2659153458458556	0	0	4.95668016194332	8.260714055338438	PIK3CB
Alzheimer disease	2/256	0.1934435698978065	0.26970497726136483	0	0	2.5652266439668017	4.2140759309161275	MAPK9;PIK3CB
IL-17 signaling pathway	1/70	0.1991469919374799	0.2750125126755675	0	0	4.667810831426392	7.53250269770551	MAPK9
Th1 and Th2 cell differentiation	1/71	0.20169103549626066	0.2758981145939415	0	0	4.600751879699248	7.3658878599838715	MAPK9
NF-kappa B signaling pathway	1/72	0.20422720404594225	0.27675649146412734	0	0	4.535581912527799	7.204872374590183	EDA2R
Prostate cancer	1/75	0.21178869672896095	0.2799330836423279	0	0	4.350640113798009	6.752916597834702	PIK3CB
Longevity regulating pathway	1/76	0.2142936019606786	0.2799330836423279	0	0	4.292280701754386	6.611864529074977	PIK3CB
PD-L1 expression and PD-1 checkpoint pathway in cancer	1/76	0.2142936019606786	0.2799330836423279	0	0	4.292280701754386	6.611864529074977	PIK3CB
Platelet activation	1/76	0.2142936019606786	0.2799330836423279	0	0	4.292280701754386	6.611864529074977	PIK3CB
Toxoplasmosis	1/77	0.21679075018834834	0.2806665962259867	0	0	4.2354570637119116	6.475262800150612	MAPK9
Glucagon signaling pathway	1/79	0.22176186905939352	0.2845616903859474	0	0	4.126180836707152	6.2146519492580845	PFKL
Leukocyte transendothelial migration	1/80	0.22423588631193908	0.2852123115371155	0	0	4.073617588274484	6.090289339131818	PIK3CB
Cholinergic synapse	1/82	0.22916095232764283	0.2889420703261584	0	0	3.9723846653671213	5.852636175292268	PIK3CB
Purine metabolism	1/86	0.23891985545186809	0.2986498193148351	0	0	3.7842105263157895	5.417578402597929	NT5E
Th17 cell differentiation	1/89	0.24615992772484357	0.3050699958983104	0	0	3.6543062200956937	5.122510868449124	MAPK9
Retrograde endocannabinoid signaling	1/93	0.25570904649695647	0.31421874357676854	0	0	3.494279176201373	4.765200989572401	MAPK9
Ubiquitin mediated proteolysis	1/94	0.25807784887901597	0.3144646057769522	0	0	3.4564233163554046	4.681704642542993	RHOBTB2
Signaling pathways regulating pluripotency of stem cells	1/95	0.26043930496327883	0.31469749349729526	0	0	3.4193729003359463	4.6003745117137225	PIK3CB
Dopaminergic synapse	1/97	0.26514026681952596	0.31773007180852286	0	0	3.3475877192982457	4.443910258661253	MAPK9
Pathways of neurodegeneration	2/321	0.26940458736648604	0.3180711851808711	0	0	2.031517410827756	2.6644183502355756	MAPK9;DCTN4
Systemic lupus erythematosus	1/99	0.26981210880860096	0.3180711851808711	0	0	3.278732545649839	4.295236211610658	H2AC1
Tight junction	1/110	0.29499451964338447	0.3449532689378286	0	0	2.9451955577015934	3.595490319917405	MAPK9
Wnt signaling pathway	1/114	0.303940289482706	0.3497725553570823	0	0	2.8400093153237074	3.3822352908859705	MAPK9
mTOR signaling pathway	1/114	0.303940289482706	0.3497725553570823	0	0	2.8400093153237074	3.3822352908859705	PIK3CB
Hepatitis C	1/119	0.31496707376390587	0.3585975460250707	0	0	2.7185548617305977	3.140711561815267	PIK3CB
Protein processing in endoplasmic reticulum	1/120	0.31715191523163094	0.3585975460250707	0	0	2.6954887218045114	3.095430222147055	MAPK9
Cellular senescence	1/121	0.31932996653433593	0.3585975460250707	0	0	2.67280701754386	3.051090284639541	PIK3CB
Axon guidance	1/122	0.3215012481604082	0.3585975460250707	0	0	2.6505002174858636	3.0076653341933257	PIK3CB
NOD-like receptor signaling pathway	1/127	0.3322568262794193	0.36776518939325037	0	0	2.544277360066834	2.803404467921893	MAPK9
Influenza A	1/133	0.34494436483992674	0.3760671646751081	0	0	2.4274322169059013	2.5836912144032507	PIK3CB
Pathogenic Escherichia coli infection	1/133	0.34494436483992674	0.3760671646751081	0	0	2.4274322169059013	2.5836912144032507	MAPK9
Regulation of actin cytoskeleton	1/135	0.3491211100989389	0.37778030570407567	0	0	2.3908091123330717	2.5159354463183967	PIK3CB
Rap1 signaling pathway	1/138	0.35533761508319817	0.38165891990417583	0	0	2.337879369957741	2.4189731883716252	PIK3CB
Tuberculosis	1/142	0.3635363664821292	0.38759392014638777	0	0	2.270810003732736	2.297778010880504	MAPK9
Viral carcinogenesis	1/149	0.37764037127509986	0.39969236375831735	0	0	2.1621621621621623	2.10554148102209	PIK3CB
Chemical carcinogenesis	1/159	0.3972619749459235	0.4174129446895573	0	0	2.0236508994004	1.8681522072517431	PIK3CB
Human cytomegalovirus infection	1/173	0.423722820959181	0.44201301466964926	0	0	1.8567931456548348	1.5943832686159642	PIK3CB
Parkinson disease	1/185	0.4454998321393192	0.46141054043000923	0	0	1.7339816933638443	1.402025478983833	MAPK9
Cytokine-cytokine receptor interaction	1/206	0.48169568984924227	0.49357245621266677	0	0	1.553658536585366	1.1348585568134735	EDA2R
Human papillomavirus infection	1/207	0.4833606122910254	0.49357245621266677	0	0	1.545988758303526	1.1239219148333086	PIK3CB
PI3K-Akt signaling pathway	1/234	0.5263946741178775	0.5337568373922534	0	0	1.3637903772306301	0.8751497628412795	PIK3CB
Amyotrophic lateral sclerosis	1/247	0.5458487744218422	0.5496393909108828	0	0	1.290329482242191	0.7811826448011008	DCTN4
Herpes simplex virus 1 infection	1/314	0.6344004246126131	0.6344004246126131	0	0	1.0084916764755338	0.4589392885050864	PIK3CB
