Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hedgehog Signaling WP4249	1/27	0.08195487711091567	0.16654022294584317	0	0	12.431174089068826	31.097656811860617	IHH
PDGF Pathway WP2526	1/28	0.0848610211248748	0.16654022294584317	0	0	11.969785575048732	29.52635373185043	SHC1
Photodynamic Therapy Induced HIF 1 Survival Signaling WP3614	1/28	0.0848610211248748	0.16654022294584317	0	0	11.969785575048732	29.52635373185043	PFKL
Splicing Factor NOVA Regulated Synaptic Proteins WP4148	1/28	0.0848610211248748	0.16654022294584317	0	0	11.969785575048732	29.52635373185043	MAPK9
Neovascularization Processes WP4331	1/29	0.08775820077431577	0.16654022294584317	0	0	11.541353383458647	28.08207440675954	MAPK9
Phosphoinositides Metabolism WP4971	1/29	0.08775820077431577	0.16654022294584317	0	0	11.541353383458647	28.08207440675954	PIK3CB
Phosphatidyl Inositol Phosphate Pathway WP5411	1/30	0.09064644295312885	0.16654022294584317	0	0	11.142468239564428	26.75071052371724	PIK3CB
Metabolic Reprogramming In Pancreatic Cancer WP5220	1/30	0.09064644295312885	0.16654022294584317	0	0	11.142468239564428	26.75071052371724	PFKL
Cancer Pathways WP5434	3/341	0.0921352844760977	0.16654022294584317	0	0	2.951183431952663	7.03708892116214	MAPK9;MECOM;PIK3CB
ATM Signaling WP2516	1/31	0.09352577452815773	0.16654022294584317	0	0	10.77017543859649	25.520126904979684	MAPK9
TNF Related Weak Inducer Of Apoptosis TWEAK Signaling WP2036	1/31	0.09352577452815773	0.16654022294584317	0	0	10.77017543859649	25.520126904979684	MAPK9
Kisspeptin Kisspeptin Receptor System In The Ovary WP4871	1/31	0.09352577452815773	0.16654022294584317	0	0	10.77017543859649	25.520126904979684	PIK3CB
Notch Signaling WP61	1/32	0.09639622223310504	0.16654022294584317	0	0	10.421901528013583	24.379831960005134	FHL1
Neural Crest Cell Migration During Development WP4564	1/32	0.09639622223310504	0.16654022294584317	0	0	10.421901528013583	24.379831960005134	PIK3CB
Wnt Signaling WP363	1/33	0.09925781277963014	0.16654022294584317	0	0	10.095394736842104	23.320711590294824	MAPK9
IL6 Signaling WP364	1/33	0.09925781277963014	0.16654022294584317	0	0	10.095394736842104	23.320711590294824	SHC1
Microglia Pathogen Phagocytosis Pathway WP3937	1/33	0.09925781277963014	0.16654022294584317	0	0	10.095394736842104	23.320711590294824	PIK3CB
Neural Crest Cell Migration In Cancer WP4565	1/33	0.09925781277963014	0.16654022294584317	0	0	10.095394736842104	23.320711590294824	PIK3CB
IL5 Signaling WP127	1/34	0.10211057276058014	0.16654022294584317	0	0	9.788676236044656	22.334812839599003	SHC1
IL2 Signaling WP49	1/34	0.10211057276058014	0.16654022294584317	0	0	9.788676236044656	22.334812839599003	SHC1
Pluripotent Stem Cell Differentiation Pathway WP2848	1/34	0.10211057276058014	0.16654022294584317	0	0	9.788676236044656	22.334812839599003	NT5E
Thymic Stromal Lymphopoietin TSLP Signaling WP2203	1/34	0.10211057276058014	0.16654022294584317	0	0	9.788676236044656	22.334812839599003	MAPK9
Vasopressin Regulated Water Reabsorption WP5085	1/35	0.1049545287261051	0.16654022294584317	0	0	9.5	21.415166782547765	DCTN4
Metabolic Reprogramming In Colon Cancer WP4290	1/35	0.1049545287261051	0.16654022294584317	0	0	9.5	21.415166782547765	PFKL
T Cell Modulation In Pancreatic Cancer WP5078	1/35	0.1049545287261051	0.16654022294584317	0	0	9.5	21.415166782547765	NT5E
Mechanoreg And Pathology Of YAP TAZ Hippo And Non Hippo Mechs WP4534	1/36	0.10778970709925506	0.16654022294584317	0	0	9.22781954887218	20.55564265888644	MAPK9
Markers Of Kidney Cell Lineage WP5236	1/37	0.11061613428377325	0.16654022294584317	0	0	8.970760233918128	19.75082700766955	NT5E
Glycolysis And Gluconeogenesis WP534	1/38	0.11343383657344085	0.16654022294584317	0	0	8.7275960170697	18.99592299469315	PFKL
TGF Beta Receptor Signaling WP560	1/38	0.11343383657344085	0.16654022294584317	0	0	8.7275960170697	18.99592299469315	MAPK9
Synaptic Signaling Associated With Autism Spectrum Disorder WP4539	1/38	0.11343383657344085	0.16654022294584317	0	0	8.7275960170697	18.99592299469315	PIK3CB
Interleukin 1 IL 1 Structural Pathway WP2637	1/38	0.11343383657344085	0.16654022294584317	0	0	8.7275960170697	18.99592299469315	MAPK9
TGF Beta Receptor Signaling In Skeletal Dysplasias WP4816	1/38	0.11343383657344085	0.16654022294584317	0	0	8.7275960170697	18.99592299469315	MAPK9
Alzheimer 39 S Disease And miRNA Effects WP2059	2/184	0.11448842317578113	0.16654022294584317	0	0	3.6014256014256016	7.805303327138857	MAPK9;PIK3CB
Alzheimer 39 S Disease WP5124	2/184	0.11448842317578113	0.16654022294584317	0	0	3.6014256014256016	7.805303327138857	MAPK9;PIK3CB
IL18 Signaling WP4754	1/39	0.11624284017696436	0.16654022294584317	0	0	8.497229916897506	18.286666100097822	MAPK9
IL26 Signaling WP5347	1/39	0.11624284017696436	0.16654022294584317	0	0	8.497229916897506	18.286666100097822	MAPK9
IL4 Signaling WP395	1/39	0.11624284017696436	0.16654022294584317	0	0	8.497229916897506	18.286666100097822	SHC1
Endochondral Ossification WP474	1/39	0.11624284017696436	0.16654022294584317	0	0	8.497229916897506	18.286666100097822	IHH
Endochondral Ossification With Skeletal Dysplasias WP4808	1/39	0.11624284017696436	0.16654022294584317	0	0	8.497229916897506	18.286666100097822	IHH
RANKL RANK Signaling WP2018	1/40	0.11904317126071583	0.16892792874139675	0	0	8.27867746288799	17.619253167858982	MAPK9
Novel Intracellular Components Of RIG I Like Receptor Pathway WP3865	1/41	0.12183485589003704	0.17125842950580678	0	0	8.071052631578947	16.99028243028735	MAPK9
IL3 Signaling WP286	1/42	0.12461792003818198	0.17353336528681415	0	0	7.873555840821566	16.39670257608272	SHC1
Physico Chemical Features And Toxicity Associated Pathways WP3680	1/44	0.1301582905648538	0.17957023420521498	0	0	7.506119951040391	15.305008225551685	SHC1
IL1 Signaling WP195	1/45	0.13291564853434973	0.18004028756016463	0	0	7.3349282296650715	14.802182771249361	MAPK9
Kit Receptor Signaling WP304	1/45	0.13291564853434973	0.18004028756016463	0	0	7.3349282296650715	14.802182771249361	SHC1
T Cell Antigen Receptor TCR Pathway During Staph A. Infection WP3863	1/49	0.14386016376695274	0.1931095892006843	0	0	6.7214912280701755	13.032390325328405	MAPK9
Endometrial Cancer WP4155	1/50	0.14657519094252267	0.19327171195075998	0	0	6.583780880773362	12.642286216548117	PIK3CB
MET In Type 1 Papillary Renal Cell Carcinoma WP4205	1/50	0.14657519094252267	0.19327171195075998	0	0	6.583780880773362	12.642286216548117	PIK3CB
AMP Activated Protein Kinase Signaling WP1403	1/51	0.14928182822357278	0.19511396846765214	0	0	6.451578947368421	12.270382483316567	PIK3CB
Acute Myeloid Leukemia WP5293	1/52	0.15198010082090432	0.195303686920021	0	0	6.324561403508772	11.915509622632664	PIK3CB
RAC1 PAK1 P38 MMP2 Pathway WP3303	1/53	0.15467003393666093	0.195303686920021	0	0	6.202429149797571	11.576593629970704	MAPK9
Urotensin II Mediated Signaling WP5158	1/53	0.15467003393666093	0.195303686920021	0	0	6.202429149797571	11.576593629970704	MAPK9
Leptin Signaling WP2034	1/53	0.15467003393666093	0.195303686920021	0	0	6.202429149797571	11.576593629970704	SHC1
Regulatory Circuits Of STAT3 Signaling WP4538	1/54	0.15735165267697304	0.1970201365451175	0	0	6.084905660377358	11.25264658733187	MAPK9
Chromosomal And Microsatellite Instability In Colorectal Cancer WP4216	1/56	0.16269004696839265	0.2002982437437778	0	0	5.862679425837321	10.646089054862008	MAPK9
Melanoma WP4685	1/56	0.16269004696839265	0.2002982437437778	0	0	5.862679425837321	10.646089054862008	PIK3CB
MicroRNAs In Cardiomyocyte Hypertrophy WP1544	1/57	0.1653468723522461	0.2002982437437778	0	0	5.757518796992481	10.361862743835509	PIK3CB
Non Genomic Actions Of 1 25 Dihydroxyvitamin D3 WP4341	1/57	0.1653468723522461	0.2002982437437778	0	0	5.757518796992481	10.361862743835509	MAPK9
Small Cell Lung Cancer WP4658	1/58	0.16799548302182576	0.20186554008267774	0	0	5.656048014773776	10.089361313687753	PIK3CB
Head And Neck Squamous Cell Carcinoma WP4674	1/61	0.17589227352771564	0.20799959329864787	0	0	5.371929824561404	9.335788493046433	PIK3CB
Integrin Mediated Cell Adhesion WP185	1/61	0.17589227352771564	0.20799959329864787	0	0	5.371929824561404	9.335788493046433	SHC1
Wnt Signaling And Pluripotency WP399	1/64	0.18371601744626978	0.21219912092631163	0	0	5.114870509607352	8.666452952591978	MAPK9
Clear Cell Renal Cell Carcinoma Pathways WP4018	1/64	0.18371601744626978	0.21219912092631163	0	0	5.114870509607352	8.666452952591978	PFKL
Glioblastoma Signaling WP2261	1/64	0.18371601744626978	0.21219912092631163	0	0	5.114870509607352	8.666452952591978	PIK3CB
Non Small Cell Lung Cancer WP4255	1/66	0.18889159049740084	0.2148461601840666	0	0	4.95668016194332	8.260714055338438	PIK3CB
Orexin Receptor Pathway WP5094	1/66	0.18889159049740084	0.2148461601840666	0	0	4.95668016194332	8.260714055338438	MAPK9
Complement System In Neuronal Development And Plasticity WP5090	1/67	0.19146737283167367	0.21612604963575288	0	0	4.881180223285487	8.068775719044588	MARK3
Corticotropin Releasing Hormone Signaling WP2355	1/68	0.19403518450302548	0.21737776308985562	0	0	4.8079340141398275	7.883645238266288	MAPK9
5Q35 Copy Number Variation WP5380	1/72	0.20422720404594225	0.2270884582301895	0	0	4.535581912527799	7.204872374590183	MAPK9
TNF Alpha Signaling WP231	1/73	0.20675552134254688	0.22819683466695914	0	0	4.472222222222222	7.049198240132441	MAPK9
Metabolic Epileptic Disorders WP5355	1/74	0.20927601104045543	0.22928033562520486	0	0	4.410598413842826	6.898622586242687	PFKL
Wnt Signaling WP428	1/75	0.21178869672896095	0.2303395314789429	0	0	4.350640113798009	6.752916597834702	MAPK9
Toll Like Receptor Signaling WP75	1/81	0.2267022396896047	0.24477270807066012	0	0	4.022368421052631	5.969668740728395	MAPK9
Ectoderm Differentiation WP2858	1/85	0.23649147596617684	0.25350525121554207	0	0	3.8295739348370925	5.521644807981299	EDA2R
Ebola Virus Infection In Host WP4217	1/87	0.241340708784028	0.2568554686344298	0	0	3.7399020807833536	5.3164414014912795	PIK3CB
VEGFA VEGFR2 Signaling WP3888	2/300	0.24466892124214365	0.258550845851627	0	0	2.178487212044259	3.066981749237516	MAPK9;SHC1
Breast Cancer Pathway WP4262	1/94	0.25807784887901597	0.27079999635896745	0	0	3.4564233163554046	4.681704642542993	SHC1
Regulation Of Actin Cytoskeleton WP51	1/100	0.2721371647616094	0.2835555073390195	0	0	3.2453482190324294	4.223655381184804	PIK3CB
Myometrial Relaxation And Contraction Pathways WP289	1/108	0.2904797246657616	0.3005658262166561	0	0	3.000737825873094	3.70957661541551	ETS2
MAPK Signaling WP382	1/170	0.4181496819572843	0.42968484559748527	0	0	1.8902211149174712	1.648113692921443	MAPK9
Cytokine Cytokine Receptor Interaction WP5473	1/174	0.4255689493109509	0.4343135167625458	0	0	1.845908122908427	1.5770115505614566	EDA2R
Focal Adhesion PI3K Akt mTOR Signaling WP3932	1/187	0.4490505105996035	0.4551600413560607	0	0	1.7150537634408602	1.3731061756669976	PIK3CB
PI3K Akt Signaling WP4172	1/225	0.5124532682923197	0.5159157903753759	0	0	1.4196428571428572	0.9490962071032382	PIK3CB
ADHD And Autism ASD Pathways WP5420	1/232	0.5233305543941643	0.5233305543941643	0	0	1.3758259284575074	0.890905045018865	PIK3CB
